birthyear,birthSex,ethnicityomb,raceomb_002,dscore,assocareer,assofamily,impcareer,impfamily,num_childunder18,anninc,percentanninc,primary1,num_primary1a,secondary1,num_secondary1a,surnameused,countrycit_num,countryres_num,edu,politicalid_7,religion2014,religionid
1999,2,2,6,-0.841823116,4,3,5,5,2,11,1,1,1,2,1,1,1,1,5,3,7,1
1974,1,2,6,-0.83920913,4,4,5,5,1,11,7,1,1,4,1,0,1,1,9,2,3,2
2001,2,2,6,-0.835924144,4,4,5,1,2,5,1,,,,,0,178,1,5,7,7,1
1993,2,2,2,-0.831534826,2,2,4,4,2,1,6,1,1,5,1,1,1,1,11,6,7,1
1997,2,1,8,-0.830973357,4,4,5,5,2,2,11,1,1,5,2,2,1,1,5,5,3,3
1979,1,2,2,-0.830720987,5,3,4,4,1,6,11,1,1,2,1,1,45,39,7,4,7,1
2003,2,2,6,-0.825684733,4,4,3,3,2,,,1,2,2,1,0,1,1,3,5,7,2
1978,1,2,6,-0.825466609,4,6,2,3,2,3,11,2,1,7,,4,1,1,7,4,7,1
1970,2,1,7,-0.819894272,4,1,4,5,2,9,7,1,1,2,1,0,1,1,7,5,2,2
1980,2,2,6,-0.819693729,4,4,4,5,1,5,5,2,1,1,1,1,39,39,11,6,7,1
2003,2,2,6,-0.817459353,4,4,3,4,2,,,7,,7,,,1,1,3,5,3,2
1999,1,3,7,-0.81589711,5,4,3,2,2,1,1,1,1,2,1,0,1,1,5,4,7,1
1979,2,2,6,-0.815459614,4,4,4,4,1,11,6,6,1,6,1,4,1,1,7,7,7,1
1990,2,2,6,-0.815029664,4,4,5,3,2,6,7,1,2,2,1,0,153,153,9,4,7,1
,,,,-0.810582439,,4,3,5,,,,,,,,,,,,,,
1964,1,2,6,-0.810569298,4,4,4,4,1,11,8,5,2,1,1,0,1,1,11,5,7,1
1984,1,2,3,-0.808525426,4,3,4,4,2,,9,1,1,2,1,0,1,1,7,5,7,2
